state,x,y,democrat,republican,other,total
AK,2.0,24,153778,189951,15801,359530
ME,35.0,24,435072,360737,32496,828305
VT,30.5,21,242820,112704,15444,370968
NH,33.5,21,424921,365654,15607,806182
WA,5.0,18,2369612,1584651,133368,4087631
MT,8.0,18,244786,343602,15286,603674
ND,11.0,18,114902,235595,11322,361819
MN,14.0,18,1717077,1484065,76029,3277171
WI,17.0,18,1630866,1610184,56991,3298041
MI,23.0,18,2804040,2649852,85410,5539302
NY,29.0,18,5230985,3244798,185952,8661735
MA,32.0,18,2382202,1167202,108601,3658005
RI,35.0,18,307486,199922,9582,516990
ID,6.5,15,287021,554119,26874,868014
WY,9.5,15,73491,193559,11453,278503
SD,12.5,15,150471,261043,11095,422609
IA,15.5,15,759061,897672,43397,1700130
IL,18.5,15,3471915,2446891,114937,6033743
IN,21.5,15,1242416,1729519,61183,3033118
OH,24.5,15,2679165,3154834,88203,5922202
PA,27.5,15,3458229,3377674,79380,6915283
NJ,30.5,15,2608335,1883274,57744,4549353
CT,33.5,15,1080831,714717,28309,1823857
OR,5.0,12,1340383,958448,75490,2374321
NV,8.0,12,703486,669890,32000,1405376
CO,11.0,12,1804352,1364607,111021,3279980
NE,14.0,12,374583,556846,24954,956383
MO,17.0,12,1253014,1718736,54212,3025962
KY,20.0,12,772474,1326646,37648,2136768
WV,23.0,12,235984,545382,13286,794652
VA,26.0,12,2413568,1962430,84526,4460524
MD,29.0,12,1985023,976414,75593,3037030
DE,32.0,12,296268,200603,7475,504346
CA,6.5,9,11110250,6006429,384202,17500881
UT,9.5,9,560282,865140,62867,1488289
NM,12.5,9,501614,401894,20457,923965
KS,15.5,9,570323,771406,30574,1372303
AR,18.5,9,423932,760647,34490,1219069
TN,21.5,9,1143711,1852475,57665,3053851
NC,24.5,9,2684292,2758773,81737,5524802
SC,27.5,9,1091541,1385103,37452,2514096
DC,30.5,9,317323,18586,8447,344356
AZ,11.0,6,1672143,1661686,53497,3387326
OK,14.0,6,503890,1020280,36529,1560699
LA,17.0,6,856034,1255776,36252,2148062
MS,20.0,6,539398,756764,17597,1313759
AL,23.0,6,849624,1441170,32488,2323282
GA,26.0,6,2473633,2461854,64473,4999960
HI,3.5,3,366130,196864,16790,579784
TX,15.5,3,5259126,5890347,165583,11315056
FL,24.5,3,5297045,5668731,101680,11067456
