state,democrat,republican,other,total
AK,153778,189951,15801,359530
AL,849624,1441170,32488,2323282
AR,423932,760647,34490,1219069
AZ,1672143,1661686,53497,3387326
CA,11110250,6006429,384202,17500881
CO,1804352,1364607,111021,3279980
CT,1080831,714717,28309,1823857
DC,317323,18586,8447,344356
DE,296268,200603,7475,504346
FL,5297045,5668731,101680,11067456
GA,2473633,2461854,64473,4999960
HI,366130,196864,16790,579784
IA,759061,897672,43397,1700130
ID,287021,554119,26874,868014
IL,3471915,2446891,114937,6033743
IN,1242416,1729519,61183,3033118
KS,570323,771406,30574,1372303
KY,772474,1326646,37648,2136768
LA,856034,1255776,36252,2148062
MA,2382202,1167202,108601,3658005
MD,1985023,976414,75593,3037030
ME,435072,360737,32496,828305
MI,2804040,2649852,85410,5539302
MN,1717077,1484065,76029,3277171
MO,1253014,1718736,54212,3025962
MS,539398,756764,17597,1313759
MT,244786,343602,15286,603674
NC,2684292,2758773,81737,5524802
ND,114902,235595,11322,361819
NE,374583,556846,24954,956383
NH,424921,365654,15607,806182
NJ,2608335,1883274,57744,4549353
NM,501614,401894,20457,923965
NV,703486,669890,32000,1405376
NY,5230985,3244798,185952,8661735
OH,2679165,3154834,88203,5922202
OK,503890,1020280,36529,1560699
OR,1340383,958448,75490,2374321
PA,3458229,3377674,79380,6915283
RI,307486,199922,9582,516990
SC,1091541,1385103,37452,2514096
SD,150471,261043,11095,422609
TN,1143711,1852475,57665,3053851
TX,5259126,5890347,165583,11315056
UT,560282,865140,62867,1488289
VA,2413568,1962430,84526,4460524
VT,242820,112704,15444,370968
WA,2369612,1584651,133368,4087631
WI,1630866,1610184,56991,3298041
WV,235984,545382,13286,794652
WY,73491,193559,11453,278503
